LOCODE,NAME,STATE
OQU,Aaron,GA
AA7,Aaronsburg,PA
ABB,Abbeville,AL
UAB,Abbeville,LA
AV4,Abbeville,MS
ABF,Abbeville,SC
ABD,Abbotsford,WI
ABJ,Abbott Park,IL
AQW,Abbottstown,PA
A4B,Abbyville,KS
AC8,Abercrombie,ND
APD,Aberdeen,ID
ABK,Aberdeen,KY
APG,Aberdeen,MD
AEK,Aberdeen,MS
UAE,Aberdeen,NC
AB3,Aberdeen,NJ
AHD,Aberdeen,OH
XBA,Aberdeen,SC
ABR,Aberdeen,SD
GHR,Aberdeen,WA
AN7,Aberdin,NC
UAF,Abernathy,TX
ABZ,Abilene,KS
ABI,Abilene,TX
ABG,Abingdon,IL
NGD,Abingdon,MD
VJI,Abingdon,VA
UUM,Abington,MA
AP3,Abington,PA
AQ2,Abiquiu,NM
TPG,Abita Springs,LA
QYA,Abrams,WI
ACX,Absecon,NJ
AA4,Acampo,CA
AJT,Accident,MD
JOK,Accokeek,MD
AQC,Accomac,VA
A8C,Accord,MA
ACR,Ackerman,GA
UAG,Ackerman,MS
AKY,Ackley,IA
DMF,Acme,MI
QZA,Acme,WA
QCA,Acra,NY
UAH,Acton,MA
TZO,Acton,TX
KUS,Acushnet,MA
AWR,Acworth,GA
ADZ,Ada,MI
DD2,Ada,MN
AJJ,Ada,OH
ADT,Ada,OK
2AR,Adair,OK
ADV,Adairsville,GA
AD3,Adairville,KY
AXK,Adak,AK
,Adak = Adak Island,
ADK,Adak Island/Adak Apt,AK
UAN,Adams,MA
UAT,Adams,OR
AKM,Adams,TN
AZM,Adams,WI
ADH,Adams Center,NY
YP2,Adams City,CO
UAJ,Adams Run,SC
DST,Adamston,WV
AN6,Adamstown,MD
AEJ,Adamstown,PA
UAM,Adamsville,TN
ADD,Addis,LA
ADS,Addison,AL
UAP,Addison,IL
IAB,Addison,ME
YAI,Addison,MI
XDS,Addison,NY
ADX,Addison,OH
QDS,Addison,PA
DDX,Addison,TX
UAS,Addyston,OH
ADE,Adel,GA
ZAE,Adel,IA
ADU,Adelanto,CA
AJD,Adell,WI
A9D,Adelphi,MD
AHP,Adelphia,NJ
AGE,Adger,AL
RZU,Adkins,TX
ADG,Adrian,MI
AI4,Adrian,MN
AQA,Adrian,OH
UAO,Adrian,OR
AD9,Adrian,PA
5AN,Adrian,TX
DIA,Adrian,WI
AR8,Adrian,WV
A2D,Advance,IN
AVX,Advance,MO
UAR,Advance,NC
AFF,Affton,MO
AFK,Afognak,AK
AF5,Afton,IA
AF9,Afton,MI
FJT,Afton,MN
AS7,Afton,OK
AFT,Afton,TN
AFQ,Afton,VA
AFO,Afton,WY
XBL,Agawam,MA
UAX,Agoura,CA
AGH,Agoura Hills,CA
A2G,Agua Dulce,CA
T7X,Agua Dulce,TX
GKG,Aguanga,CA
AHE,Ahoskie,NC
AIE,Aiea (Oahu),HI
AIK,Aiken,SC
YAY,Ailey,GA
AW2,Ainsworth,NE
AYH,Airway Heights,WA
AJ9,Ajo,AZ
AKQ,Akers,LA
AKK,Akhiok,AK
KKI,Akiachak,AK
AKI,Akiak,AK
AKO,Akron,CO
AKC,Akron,IN
AKA,Akron,MI
AKR,Akron,NY
AKH,Akron,OH
ARN,Akron,PA
KQA,Akutan,AK
A9L,Alabama,NY
ZAC,Alabama City,AL
AA2,Alabama Pt.,AL
LBA,Alabaster,AL
AHU,Alachua,FL
DNJ,Aladdin,WY
AUK,Alakanuk,AK
AMC,Alamance,NC
NGZ,Alameda,CA
UBB,Alamo,CA
AM8,Alamo,NV
AMT,Alamo,TN
AMO,Alamo,TX
ALM,Alamogordo,NM
ALS,Alamosa,CO
YAN,Alanson,MI
TLB,Alba,MI
XAB,Alba,TX
ALA,Albany,CA
ABY,Albany,GA
AJB,Albany,IL
AB5,Albany,IN
AY9,Albany,KY
AL2,Albany,MN
ALB,Albany,NY
UBA,Albany,OH
AYK,Albany,OR
UBE,Albany,TX
AYX,Albany,VT
AYW,Albany,WI
AB2,Albany,WY
CVO,Albany-Corvallis Apt,OR
UAD,Albemarle,NC
LXR,Albers,IL
AEL,Albert Lea,MN
OBQ,Albertson,NY
ABV,Albertville,AL
ALV,Albertville,MN
AL6,Albia,IA
AQI,Albin,WY
AB7,Albion,IA
AN5,Albion,ID
AOB,Albion,IL
YAB,Albion,IN
AO7,Albion,ME
AOX,Albion,MI
AB8,Albion,NE
AON,Albion,NY
AB4,Albion (Erie County),PA
AB6,Albrightsville,PA
ABQ,Albuquerque,NM
ALR,Alburg,VT
ALU,Alburtis,PA
AC5,Alcade,NM
XAC,Alcalde,NM
ZAK,Alcan,AK
ALJ,Alcester,SD
ACO,Alcoa,TN
AD4,Alda,NE
2AD,Aldan,PA
EDH,Alden,IA
DNF,Alden,MN
YLF,Alden,NY
AL7,Aldie,VA
AD8,Aldine,TX
AD5,Aledo,IL
AQD,Aledo,TX
WKK,Aleknagik,AK
AED,Aleneva,AK
YAX,Alexander,AR
AEX,Alexander,IA
ZXA,Alexander,IL
AKX,Alexander,ND
ALX,Alexander City,AL
AXD,Alexandria,IN
AXP,Alexandria,KY
ESF,Alexandria,LA
AXN,Alexandria,MN
AXY,Alexandria,MO
AZ4,Alexandria,OH
AXA,Alexandria,PA
XAA,Alexandria,TN
AXR,Alexandria,VA
AXB,Alexandria Bay,NY
LEV,Alexis,IL
AFE,Alfred,ME
QAF,Alfred,NY
AFS,Alfred Station,NY
AQG,Alger,MI
AJE,Alger,OH
UAY,Algiers,LA
QGD,Algodones,NM
AMZ,Algoma,MS
QAG,Algoma,WI
AXG,Algona,IA
UBJ,Algona,WA
ALG,Algonac,MI
AGQ,Algonquin,IL
YAG,Algood,TN
ALH,Alhambra,CA
ALI,Alice,TX
AIV,Aliceville,AL
ACA,Alicia,MI
3AF,Alief,TX
AQP,Aliquippa,PA
AVJ,Aliso Viejo,CA
ALZ,Alitak,AK
AET,Allakaket,AK
UOY,Allamuchy,NJ
ALL,Allegan,MI
NYZ,Allegany,NY
UBP,Allegheny,PA
AG3,Allegheny County Apt/Pittsburgh,PA
AQ9,Allen,KY
AN2,Allen,MI
A3N,Allen,OK
XAL,Allen,TX
APK,Allen Park,MI
GKE,Allendale,MI
UAZ,Allendale,NJ
EDL,Allendale,SC
NUS,Allenhurst,NJ
AJP,Allenport,PA
ATX,Allenstown,NH
QWU,Allenton,NC
ZAG,Allenton,WI
AEW,Allentown,NJ
AWN,Allentown,PA
AT2,"Allentown, Allegany",NY
AWO,Allenwood,NJ
AZW,Allenwood,PA
ALT,Allerton,IA
AL3,Alliance,LA
AIA,Alliance,NE
AIH,Alliance,OH
IXS,Allison,TX
ALK,Allison Park,PA
AOY,Alloy,WV
XBE,Allston,MA
AY3,Allyn,WA
RAA,Alma,AR
AM2,Alma,CO
AMQ,Alma,GA
AM6,Alma,KS
AMN,Alma,MI
XAM,Alma,WI
AO5,Almond,WI
ATJ,Almont,MI
AHA,Aloha,OR
ZON,Alorton,IL
A3P,Alpaugh,CA
APN,Alpena,MI
A4P,Alpena,SD
AJQ,Alpha,IL
APA,Alpha,NJ
ALP,Alpha,OH
AAI,Alpharetta,GA
APL,Alpine,AL
APY,Alpine,NJ
ALE,Alpine,TX
AP2,Alpine,UT
AP5,Alpine,WY
ZJI,"Alpine, Los Angeles",CA
JIN,"Alpine, San Diego",CA
AEN,Alsen,NY
UBC,Alsip,IL
AFA,Alstead,NH
AJL,Alta,CA
XBO,Alta,UT
TUU,Alta,WY
TAJ,Alta Loma,CA
AJM,Alta Loma,TX
AV3,Alta Vista,KS
AZA,Altadena,CA
UBD,Altamahaw,NC
AZN,Altamont,IL
A7L,Altamont,KS
ZTM,Altamont,NY
AM7,Altamont,TN
TMO,Altamont,UT
ASP,Altamonte Springs,FL
PSQ,Altapass,NC
ATV,Altavista,VA
GUA,Altenburg,MO
A7H,Altha,FL
TMR,Altheimer,AR
AOQ,Alto,GA
AO2,Alto,MI
ALN,Alton,IL
A4L,Alton,MO
KLQ,Alton,NY
ONB,Alton,VA
AZQ,Altoona,FL
NOF,Altoona,IA
AOO,Altoona,PA
AZP,Altoona,WI
AXU,Altura,MN
ZIF,Alturas,CA
AZX,Altus,AR
LTS,Altus,OK
QAB,Alum Bank,PA
AZT,Alum Rock,CA
ALF,Alva,FL
XAK,Alva,OK
AV6,Alva,WY
AV8,Alvada,OH
AZB,Alvarado,CA
AR2,Alvarado,MN
ZAD,Alvarado,TX
A2T,Alvaton,GA
AZC,Alvin,TX
AZD,Alviso,CA
AV5,Alvordton,OH
AQY,Alyeska,AK
AMD,Ama,LA
AZ6,Amado,AZ
AA6,Amador,IA
AMF,Amagansett,NY
UBG,Amana,IA
AP4,Amanda Park,WA
AGY,Amargosa Valley,NV
AMA,Amarillo,TX
AMM,Amasa,MI
ABL,Ambler,AK
AMR,Ambler,PA
OPP,Amboy,CA
AMY,Amboy,IL
UBF,Ambridge,PA
SBR,Ambrose,GA
AMB,Ambrose,ND
QHH,Ambrose Channel Light,NJ
AHT,Amchitka,AK
AEI,Amelia,LA
OHM,Amelia,OH
XXS,Amelia,TX
AML,Amelia,VA
ALC,Amelia City,FL
AD6,Amelia Island,FL
ACY,American Canyon,CA
YAF,American Falls,ID
ZAF,American Fork,UT
AMU,Americus,GA
AHH,Amery,WI
AMW,Ames,IA
QEA,Ames,TX
AMX,Amesbury,MA
YAM,Amherst,MA
7AH,Amherst,ME
UBI,Amherst,NH
AMH,Amherst,NY
ZAH,Amherst,OH
ZAM,Amherst,SD
XSF,Amherst,TX
AHR,Amherst,VA
XWI,Amherst,WI
UBH,Amite,LA
AMJ,Amity,OR
AYZ,Amityville,NY
AM9,Amlin,OH
AM5,Ammon,ID
AOS,Amook,AK
ARY,Amory,MS
XBD,Ampthill,VA
AMS,Amsterdam,NY
A4N,Anaconda,MT
OTS,Anacortes,WA
NDV,Anacostia,DC
NKO,Anadarko,OK
ANA,Anaheim,CA
AQH,Anahuac,TX
AKP,Anaktuvuk,AK
AQF,Anamoose,ND
AAB,Anamosa,IA
ACP,Anchor Point,AK
ANC,Anchorage,AK
AHF,Anchorville,MI
ACQ,Ancram,NY
A3D,Andale,KS
ADL,Andalusia,AL
USQ,Andalusia,IL
ANE,Anderson,AL
HJG,Anderson,CA
AID,Anderson,IN
ANO,Anderson,MO
NDE,Anderson,NY
DQO,Anderson,OH
AND,Anderson,SC
AEQ,Anderson City,GA
UBK,Andersonville,GA
AOZ,Andersonville,TN
AJS,Andes,NY
AXZ,Andover,KS
ANR,Andover,MA
AD7,Andover,MN
T3G,Andover,NH
AN9,Andover,NJ
AR3,Andover,OH
AJR,Andover,SD
ANU,Andrade,CA
DGQ,Andreas,PA
ANF,Andrews,IN
AGM,Andrews,NC
ADR,Andrews,SC
UBO,Andrews,TX
AS3,Andrews AFB,MD
AXX,Angel Fire,NM
A2O,Angeles Oaks,CA
AJC,Angelica,NY
4NV,Angels Camp,CA
ANG,Angier,NC
AGX,Angleton,TX
ANQ,Angola,IN
ZAI,Angola,LA
ANH,Angola,NY
AGN,Angoon,AK
RFK,Anguilla,MS
AWG,Angwin,CA
ANI,Aniak,AK
AM3,Animas,NM
NAJ,Anita,IA
AIB,Anita Bay,AK
AKE,Ankeny,IA
ANM,Anmoore,WV
ARB,Ann Arbor,MI
YRU,Anna,IL
NNA,Anna,OH
BK6,Anna,TX
XAT,Annandale,MN
A7N,Annandale,NJ
AJA,Annandale,VA
DHD,Annandale-on-Hudson,NY
ANP,Annapolis,MD
AM4,Annapolis,MO
QAJ,Annapolis Junction,MD
ANN,Annette Island,AK
NQH,Annisquam Harbour,MA
ANB,Anniston,AL
NNT,Anniston,MO
A5N,Annona,TX
VVY,Annville,KY
AIL,Annville,PA
ANK,Anoka,MN
AQZ,Ansonia,CT
ANS,Ansonia,OH
VFR,Ansonville,NC
QTP,Antelope,CA
AJH,Anthem,AZ
AT7,Anthony,FL
ANY,Anthony,KS
TNY,Anthony,NM
UBM,Anthony,TX
UBN,Antigo,WI
ANZ,Antioch,CA
TIH,Antioch,IL
TIO,Antioch,TN
ANT,Antler,ND
ATE,Antlers,OK
ANX,Antonia,MO
ZJK,Antonito,CO
AH3,Antrim,NH
A6N,Antwerp,NY
ZAQ,Antwerp,OH
ANV,Anvik,AK
AKG,Anza,CA
A77,Apache,OK
APJ,Apache Junction,AZ
AAF,Apalachicola,FL
API,Apalachin,NY
APX,Apex,NC
ZAP,Apollo,PA
ZAB,Apollo Beach,FL
AOP,Apopka,FL
XAV,Appalachia,VA
APQ,Apple Creek,OH
XAU,Apple Grove,WV
APV,Apple Valley,CA
YAW,Apple Valley,MN
APR,Applegarth,NJ
YPL,Applegate,OR
APP,Appleton,MN
AUP,Appleton,NY
ATW,Appleton,WI
AP7,Appling,GA
XAX,Appomattox,VA
APO,Aptos,CA
AQO,Aquebogue,NY
RAB,Arab,AL
AJF,Arabi,GA
AQX,Arabi,LA
YGN,Aragon,GA
RG4,Aragonite,UT
YAS,Aransas Pass,TX
OZP,Arapaho,OK
AAE,Arapahoe,CO
XRP,Arapahoe,NE
A2A,Ararat,VA
AV2,Arbor Vitae,WI
ARU,Arbuckle,CA
JBM,Arbutus,MD
AYD,Arbyrd,MO
AC2,Arcade,NY
JAR,Arcadia,CA
ARI,Arcadia,FL
JLM,Arcadia,IN
AIQ,Arcadia,LA
JDI,Arcadia,MO
ARZ,Arcadia,SC
ADI,Arcadia,WI
VUM,Arcanum,OH
ACV,Arcata,CA
AHB,Archbald,PA
ARO,Archbold,OH
XAZ,Archdale,NC
AKV,Arcola,IL
AXL,Arcola,IN
XAY,Arcola,LA
AR4,Arcola,TX
ARC,Arctic Village,AK
AYY,Arden,NC
ARH,Arden Hills,MN
ZAA,Ardena,NJ
AR9,Ardmore,AL
ADM,Ardmore,OK
DM6,Ardmore,PA
AME,Ardmore,TN
ADY,Ardsley,NY
4RN,Arena,WI
ARS,Arenzville,IL
7AR,Argenta,IL
XBB,Argo,IL
AGJ,Argos,IN
JYR,Argyle,NY
IOA,Arion,IA
A3R,Aristes,PA
RIU,Ariton,AL
ADA,Arkadelphia,AR
ASC,Arkansas City,AR
ARK,Arkansas City,KS
KOM,Arkoma,OK
NK7,Arkport,NY
XAI,Arlee,MT
ARR,Arleta,CA
ARL,Arley,AL
AGZ,Arlington,AZ
ARD,Arlington,GA
IGN,Arlington,IA
RLG,Arlington,IL
IGB,Arlington,IN
ZAT,Arlington,MA
ARE,Arlington,MN
QAR,Arlington,NJ
JIG,Arlington,NY
ARF,Arlington,OR
AGT,Arlington,SD
ARJ,Arlington,TX
ARP,Arlington,VA
XBC,Arlington,VT
AZZ,Arlington,WA
XBM,Arlington,WI
JLH,Arlington Heights,IL
AGW,"Arlington, Houston",TN
AT3,"Arlington, Knox",TN
IGT,"Arlington, Shelby",TN
AAP,Arlington/Baltimore,MD
AAK,Armada,MI
AXC,Armonk,NY
AXE,Armorel,AR
AEZ,Armstrong,IA
ARM,Armuchee,GA
DVZ,Arnaudville,LA
ZRG,Arnegard,ND
OAR,Arnett,OK
YAJ,Arnold,CA
AZR,Arnold,MD
AXF,Arnold,MO
AQL,Arnold,PA
RNR,Arnolds Park,IA
6AP,Aroma Park,IL
AQR,Aromas,CA
RPI,Arpin,WI
NGO,Arrington,TN
YZA,Arrington,VA
AG2,Arroyo Grande,CA
AR6,Arroyo Seco,NM
ATM,Artesia,CA
AJI,Artesia,MS
ATS,Artesia,NM
A2R,Artesia,TX
TIZ,Artesian,SD
AXH,Arthur,IL
AC7,Arthur City,TX
AO8,Artois,CA
XJW,Arundel,ME
AVL,Arundel Village,MD
AVA,Arvada,CO
AXI,Arvin,CA
VZN,Arvonia,VA
AS9,Asbury,IA
YB9,Asbury,MO
AJU,Asbury,NJ
ARX,Asbury Park,NJ
ASB,"Asbury, Gloucester",NJ
ASU,"Asbury, Warren",NJ
EY9,Ascutney,VT
AS8,Ash,NC
AZF,Ash Flat,AR
AF8,Ash Fork,AZ
ZAV,Ash Grove,MO
AHW,Ashaway,RI
ABN,Ashburn,GA
QAS,Ashburn,VA
HHA,Ashburnham,MA
HBY,Ashby,MN
ADN,Ashdown,AR
ASR,Asheboro,NC
XA2,Asherville,KS
AEV,Asheville,NC
AF2,Ashford,AL
A3F,Ashford,CT
9AS,Ashford,WV
W24,Ashippun,WI
ASM,Ashkum,IL
ALY,Ashland,AL
3AL,Ashland,CA
7AI,Ashland,IL
ANL,Ashland,KY
ASD,Ashland,MA
8MA,Ashland,MI
AHJ,Ashland,MO
AXM,Ashland,MS
NEX,Ashland,NE
AHL,Ashland,NH
ASK,Ashland,OH
ASI,Ashland,OR
XBH,Ashland,PA
AYQ,Ashland,TN
6TA,Ashland,TX
ALD,Ashland,VA
ASX,Ashland,WI
XBN,Ashland City,TN
HTS,Ashland-Huntington Apt,WV
AS4,Ashley,IL
ESH,Ashley,IN
AS6,Ashley,MI
ASY,Ashley,ND
AHY,Ashley,PA
AOH,Ashmore,IL
ASF,Ashtabula,OH
ASV,Ashton,ID
AYA,Ashton,IL
XST,Ashton,MD
HJT,Ashton,NE
AS2,Ashton,RI
9AL,Ashville,AL
ASO,Ashville,OH
A22,Ashville,PA
AWB,Ashwaubenon,WI
OAX,Asotin,WA
ASE,Aspen,CO
A3S,Aspermont,TX
UBR,Aspers,PA
ASJ,Assonet,MA
AMP,Assumption,IL
AUA,Astatula,FL
XBF,Aston,PA
AT4,Astoria,IL
AST,Astoria,OR
ASA,Astoria/Queens/New York,NY
AFC,Atascadero,CA
AT9,Atascocita,TX
ATQ,Atchison,KS
AGL,Atglen,PA
THN,Athena,OR
ATA,Athens,AL
AHN,Athens,GA
AZH,Athens,IL
QAH,Athens,ME
AN4,Athens,MI
ATB,Athens,NY
ATO,Athens,OH
ATN,Athens,PA
MMI,Athens,TN
AWX,Athens,TX
THZ,Athens,WI
AT6,Athens,WV
ATC,Atherton,CA
ATD,Athol,ID
AHO,Athol,MA
AKB,Atka,AK
ATF,Atkins,AR
AIS,Atkins,VA
3AI,Atkinson,IL
ZAS,Atkinson,NC
AN3,Atkinson,NE
TKD,Atkinson,NH
A2N,Atlanta,CA
ATL,Atlanta,GA
AZI,Atlanta,IL
TLN,Atlanta,IN
QJA,Atlanta,MI
QAN,Atlanta,NE
TAT,Atlanta,TX
AIO,Atlantic,IA
AT5,Atlantic,NC
NIC,Atlantic,VA
QAT,Atlantic Beach,FL
TBH,Atlantic Beach,NC
ZNB,Atlantic Beach,NY
AIY,Atlantic City,NJ
AHZ,Atlantic Highlands,NJ
ATP,Atlas Point,DE
ABW,Atlasburg,PA
ATT,Atmautluak,AK
AMK,Atmore,AL
AOD,Atoka,OK
ATK,Atqasuk,AK
ATR,Atreco,TX
AAA,Attalla,AL
APS,Attapulgus,GA
AJZ,Attica,IL
A2Q,Attica,IN
IAX,Attica,KS
AQ7,Attica,NY
XTC,Attica,OH
AOM,Attleboro,MA
ATU,Attu Island,AK
ATZ,Atwater,CA
YZY,Atwater,MN
ATG,Atwood,CA
6AT,Atwood,IL
AWD,Atwood,KS
XBI,Au Gres,MI
AY8,Aubrey,TX
AUO,Auburn,AL
AUN,Auburn,CA
